Wavelength	Optimal motor OPL [qc]	Optimal motor OPL [um]
500	-401942	5557.75
510	-402589	5525
520	-402603	5524.25
530	-402593	5524.75
540	-402364	5536.25
550	-402223	5543.75
560	-401706	5570
570	-402309	5538.25
580	-402478	5531
590	-402200	5544.75
600	-401833	5563.75
610	-401977	5556
620	-402253	5542
630	-401920	5558.75
640	-401597	5575.25
650	-401854	5562.25
660	-401765	5566.75
670	-401572	5577
680	-402245	5542
690	-401853	5562.25
700	-401991	5555.25
710	-400834	5614.5
720	-401688	5570.5
730	-401391	5585.75
740	-401272	5591.75
750	-401873	5561.25
760	-401576	5577
770	-400706	5620.5
780	-401789	5565.5
790	-401683	5571
800	-401688	5570.75
810	-400179	5647.25
820	-401257	5592.5
830	-401063	5602.25
840	-400730	5619.25
850	-401183	5596.25
