Wavelength	Optimal motor OPL [qc]
5.000000000000000000e+02	-4.140550000000000000e+05
5.388888888888888760e+02	-4.147960000000000000e+05
5.777777777777777519e+02	-4.148570000000000000e+05
6.166666666666666279e+02	-4.148860000000000000e+05
6.555555555555555038e+02	-4.144830000000000000e+05
6.944444444444444962e+02	-4.145910000000000000e+05
7.333333333333333721e+02	-4.139270000000000000e+05
7.722222222222222481e+02	-4.133070000000000000e+05
8.111111111111111240e+02	-4.127430000000000000e+05
8.500000000000000000e+02	-4.136960000000000000e+05
