wavelength	position
500	-565372
503.5353535	-564615
507.0707071	-564540
510.6060606	-563645
514.1414141	-563430
517.6767677	-562397
521.2121212	-562039
524.7474747	-562349
528.2828283	-561076
531.8181818	-561230
535.3535354	-560616
538.8888889	-559995
542.4242424	-559369
545.959596	-558776
549.4949495	-558251
553.030303	-557792
556.5656566	-556650
560.1010101	-556325
563.6363636	-556815
567.1717172	-556619
570.7070707	-555692
574.2424242	-555513
577.7777778	-555333
581.3131313	-555115
584.8484848	-554789
588.3838384	-554351
591.9191919	-553819
595.4545455	-553347
598.989899	-552976
602.5252525	-552704
606.0606061	-552471
609.5959596	-552213
613.1313131	-551929
616.6666667	-552375
620.2020202	-552066
623.7373737	-551006
627.2727273	-550695
630.8080808	-550370
634.3434343	-550025
637.8787879	-549660
641.4141414	-549319
644.9494949	-549114
648.4848485	-549049
652.020202	-549104
655.5555556	-549001
659.0909091	-548652
662.6262626	-548059
666.1616162	-548974
669.6969697	-548003
673.2323232	-547396
676.7676768	-547817
680.3030303	-547988
683.8383838	-547822
687.3737374	-547321
690.9090909	-546782
694.4444444	-547170
697.979798	-546985
701.5151515	-546903
705.0505051	-545943
708.5858586	-545588
712.1212121	-544350
715.6565657	-544751
719.1919192	-545396
722.7272727	-545537
726.2626263	-544996
729.7979798	-544957
733.3333333	-544665
736.8686869	-544166
740.4040404	-544593
743.9393939	-544528
747.4747475	-544720
751.010101	-544157
754.5454545	-544091
758.0808081	-543773
761.6161616	-544043
765.1515152	-543012
768.6868687	-542219
772.2222222	-542407
775.7575758	-542584
779.2929293	-543376
782.8282828	-543284
786.3636364	-543118
789.8989899	-543010
793.4343434	-542967
796.969697	-542967
800.5050505	-542792
804.040404	-542379
807.5757576	-541730
811.1111111	-541103
814.6464646	-541568
818.1818182	-541625
821.7171717	-541938
825.2525253	-542058
828.7878788	-541170
832.3232323	-540779
835.8585859	-540401
839.3939394	-540210
842.9292929	-540204
846.4646465	-541134
850	-541500
