Wavelength	Optimal motor OPL [qc]	Optimal motor OPL [um]
500	-358492	7761.75
501	-357842	7794.75
502	-357585	7807.75
503	-358936	7739.25
504	-358921	7740
505	-359138	7729
506	-359320	7719.75
507	-359174	7727.75
508	-359182	7726.75
509	-359172	7727.25	
510	-359064	7732.75
511	-359107	7729.75
512	-359219	7725
513	-359196	7726
514	-359227	7724.5
515	-359172	7727.25
516	-359198	7726
517	-359135	7729.25
518	-359207	7725.5
519	-359289	7721.25
520	-359315	7720
521	-359325	7719.5
522	-359239	7723.25
523	-359246	7723.5
524	-359293	7721.25
525	-359296	7721
526	-359330	7719.25
527	-359313	7720
528	-359335	7719
529	-359300	7720.75
530	-359286	7721.5
531	-359294	7721.75
532	-359403	7715.5
533	-359529	7709.75
534	-359581	7706.5
535	-359511	7709.75
536	-359387	7716.5
537	-359290	7721.5
538	-359214	7726
