Wavelength	Optimal motor OPL [qc]	Optimal motor OPL [um]
500	-403485	5479.5
510	-404091	5448.75
520	-404107	5448
530	-404091	5448.75
540	-403909	5458
550	-403776	5464.75
560	-403194	5494.25
570	-403835	5461.75
580	-403993	5453.75
590	-403786	5464.25
600	-403278	5490
610	-403490	5479.25
620	-403795	5463.75
630	-403445	5481.5
640	-403012	5503.5
650	-403391	5484.25
660	-403273	5490.25
670	-403012	5503.5
680	-403815	5462.75
690	-403329	5487.5
700	-403416	5483
710	-402455	5531.75
720	-403130	5497.5
730	-402800	5514.25
740	-402760	5516.25
750	-403367	5485.5
760	-403007	5503.75
770	-402164	5546.5
780	-403273	5490.25
790	-403135	5497.25
800	-403165	5495.75
810	-401696	5570.25
820	-402726	5518
830	-402534	5527.75
840	-402218	5543.75
850	-402632	5522.75
