Wavelength (nm)	Shutter speed (ms)
500	1.99e+03
510	1.51e+03
520	1.41e+03
530	1.13e+03
540	1.05e+03
550	0.97e+03
560	0.93e+03
570	0.93e+03
580	0.81e+03
590	0.71e+03
600	0.67e+03
610	0.67e+03
620	0.57e+03
630	0.51e+03
640	0.45e+03
650	0.41e+03
660	0.37e+03
670	0.37e+03
680	0.29e+03
690	0.27e+03
700	0.25e+03
710	0.63e+03
720	0.57e+03
730	0.63e+03
740	0.73e+03
750	0.79e+03
760	0.95e+03
770	1.11e+03
780	1.51e+03
790	1.39e+03
800	2.03e+03
810	2.97e+03
820	2.91e+03
830	5.49e+03
840	14.43e+03
850	29.59e+03
